artist,title,album,year,lyrics
Brandi Carlile,Heart’s Content,Bear Creek,2012,"Maybe you thought I hung the moon
Maybe you thought we were Johnny and June
Maybe we thought it was just us two
Maybe we spoke too soon

We never lie and we don't tell tales
We bite our tongues and our fingernails
We fall in love and we don't fall out
Maybe we speak too soon

Here's to you and me, and in between
We draw a line but we can't see where it's been
We scratch our heads and race against the heart's content
Oh oh oh oh yeah

Maybe we hurt who we love the most
Maybe it's all we can stand
Maybe we walk through the world as ghosts
Break my own heart before you can

Here's to you and me, and in between
We draw a line but we can't see where it's been
We scratch our heads and race against the heart's content
Oh oh oh oh yeah

Maybe we know how the story ends
Maybe it's not even about us
We both retreat to opposing stands
And the love lives on without us

One thing I know for sure is
Love will find a way
Love will find a way

Here's to you and me, and in between
We draw a line but we can't see where it's been
We scratch our heads and race against the heart's content
Oh oh oh oh, you and me
Oh oh oh oh, you and me
Oh oh oh oh, you and me
Oh oh oh oh yeah"
Brandi Carlile,Hiding My Heart,The Story,2007,"This is how the story went
I met someone by accident
Who blew me away and blew me away
It was in the darkest of my days
When you took my sorrow and you took my pain
And buried them away, buried them away

I wish I could lay down beside you when the day is done
And wake up to your face against the morning sun
But like everything I've ever known you'll disappear one day
So I'll spend my whole life hiding my heart away

You dropped me off at the train station
Put a kiss on top of my head
Watched me wave, you watched me wave
Then you went on home to your skyscrapers
And neon lights and waiting papers
That you call home, you call it home

I wish I could lay down beside you when the day is done
And wake up to your face against the morning sun
But like everything I've ever known you'll disappear one day
So I'll spend my whole life hiding my heart away

I woke up feeling heavy hearted
I'm going back to where I started
The morning rain, the morning rain
And although I wish that you were near
The same old road that brought me here
It's calling me home, it's calling me home

I wish I could lay down beside you when the day is done
And wake up to your face against the morning sun
But like everything I've ever known you'll disappear one day
So I'll spend my whole life hiding my heart away
I can spend my whole life hiding my heart away"
Brandi Carlile,Harder To Forgive,"By the Way, I Forgive You",2018,"I love the songs I hated when I was young
Because they take me back where I come from
When every broken heart seemed like the end
When everyone was someone different then

But I can't be alone in a crowded room
Where my thoughts, they run like water down a flume
There are days when I will let the darkness rise
I don't always choose to stay on the sunny side

Sometimes I pretend we never met (ooh)
Because it's harder to forgive than to forget
Sometimes it's harder to forgive

Yes, my life has seen some wasted time
I have suffered for the peace inside my mind
And some things are better left unsaid
While some things work out different when they're in your head

But I'm not sorry for the things I say
Sometimes I let my mouth just run away
And I believe that all souls are born kind
And that all love lost comes back in time

Sometimes I pretend we never met (ooh)
Because it's harder to forgive than to forget
Sometimes it's harder to forgive

And even if the world is really round
And all the maps are printed upside down
So if you stand in one place for too long
Everything around you will be gone

Well, I'm not gonna miss you when I'm gone
Now the part of me that's left wants you to know
That I'm not gonna jump towards the light
The ones who believe choose the night

Ooh, ooh
Ooh, ooh
Ah, ooh
Ah"
Brandi Carlile,The Eye,The Firewatcher’s Daughter,2014,"It really breaks my heart
To see a dear old friend
Go down to the worn out place again
Do you know the sound
Of a closing door?
Have you heard that sound somewhere before?
Do you wonder if she knows you anymore?

I wrapped your love around me like a chain
But I never was afraid that it would die
You can dance in a hurricane
But only if you're standing in the eye

Where did you learn to walk?
Where did you learn to run
Away from everything you love?
Did you think the bottle
Would ever ease your pain?
Did you think that love's a foolish game?
Did you find someone else to take the blame?

I wrapped your love around me like a chain
But I never was afraid that it would die
You can dance in a hurricane
But only if you're standing in the eye
You can dance in a hurricane
But only if you're standing in the eye

I am a sturdy soul
And there ain't no shame
In lying down in the bed you made
Can you fight the urge to run for another day?
You might make it further if you learn to stay

I wrapped your love around me like a chain
But I never was afraid that it would die
You can dance in a hurricane
But only if you're standing in the eye
You can dance in a hurricane
But only if you're standing in the eye"
Brandi Carlile,Raise Hell,Bear Creek,2012,"I've been down with a broken heart
Since the day I learned to speak
The devil gave me a crooked start
When he gave me crooked feet
But Gabriel done came to me
And kissed me in my sleep
And I'll be singing like an angel
Until I'm six feet deep
I found myself an omen and I tattooed on a sign
I set my mind to wandering and I walk a broken line
You have a mind to keep me quiet
And although you can try
Better men have hit their knees
And bigger men have died

I'm gonna raise, raise hell
There's a story no one tells
You gotta raise, raise hell
Go on and ring that bell
You came upon a lightning strike
And eyes of bright clear blue
I took that tie from around my neck
And gave my heart to you
I sent my love across the sea
And though I didn't cry
That voice will haunt my every dream
Until the day I die

I'm gonna raise, raise hell
There's a story no one tells
You gotta raise, raise hell
Go on and ring that bell
I dug a hole inside my heart
To put you in your grave
At this point it was you or me
And mama didn't raise no slave
You took my face in both your hands
And looked me in the eye
And I went down with such a force
That in your grave I lie

I'm gonna raise, raise hell
There's a story no one's telling
You gotta raise, raise hell
Go on and ring that bell
Go on and ring that bell
Go on and ring that bell
Go on and ring that bell"
Brandi Carlile,Fulton County Jane Doe,"By the Way, I Forgive You",2018,"1, 2, 3, 4

Out in the middle of nowhere
With nothing much else to do
Oh, the night brought us together
And I lent my heart to you

Maybe you were running way from something
Without so much as a plan
Not a living soul to guide you
Jesus tattooed on your hand

God, the whole world's gone crazy
And there's only God to blame
Somebody called you something sweet once
It was more than Fulton County Jane

And when my heart has no rest
And a thousand things are on my mind
I'll always save some room for you
I won't let you get left behind

Oh, and I always will remember
When the lonely day is through
That somewhere far from Fulton County
A stranger says a prayer for you

God, the whole world's gone crazy
And there's only God to blame
Your mother calls you something sweet once
It was more than Fulton County Jane
Fulton County Jane

We came into this life with nothing
And all we're taking is a name
That's why I've written you this song
This is for Fulton County Jane

God, the whole world's gone crazy
And there's only God to blame
Your mother calls you something sweet once, darling
You're more than Fulton County, Fulton County Jane
Fulton County Jane

Ooh, ooh
Ooh, ooh"
Brandi Carlile,Turpentine,The Story,2007,"I watch you grow away from me in photographs
And memories like spies
And salt betrays my eyes again
I started losing sleep and gaining weight
And wishing I was was ten again
So I could be your friend again
These days we go to waste like wine
That's turned to turpentine
It's six AM and I'm all messed up
I didn't mean to waste your time
So I'll fall back in line
But I'm warning you we're growing up
I heard you found some pretty words to say
You found your little game to play
And there's no one allowed in
Then just when we believe we could be great
Reality it permeates
And conquers from within again
These days we go to waste like wine
That's turned to turpentine
It's six AM and I'm all messed up
I didn't mean to waste your time
So I'll fall back in line
But I'm warning you we're growing up
I know we're growing....
I know we're OK
These days we go to waste like wine
That's turned to turpentine
It's six AM and I'm all messed up
I didn't mean to waste your time
So I'll fall back in line
But I'm warning you we're growing up"
Brandi Carlile,I Belong to You,The Firewatcher’s Daughter,2015,"Last night I had the exact same dream as you
I killed a bird to save your life
And you gave me your shoes
You said, ""Clip my wings and walk my miles.""
And I said I would too
Then I woke up but I wasn't gonna tell you

Today I sang the same damn tune as you
It was ""Lady in Red"", I hate that song
And I know you do too
You didn't catch me singin' along
But I always sing with you
Nice and quietly 'cause I don't want to stop you

I know I could be spending a little too much time with you
But time and too much don't belong together like we do
If I had all my yesterdays I'd give 'em to you too
I belong to you now
I belong to you

I see the world the exact same way that you do
We lend our hands and take our stance
In tandem when we do
But I lied and said I knew the way
I hid my eyes from you
I still don't know why, I probably didn't want to scare you

I know I could be spending too much time with you
But time and too much don't belong together like we do
If I had all my yesterdays I'd give 'em to you too
I belong to you now
I belong to you

I'm gonna die the exact same day as you
On the Golden Gate Bridge, I'll hold your hand
And howl at the moon
Scrape the sky with tired eyes
And I will come find you
And I ain't scared, 'cause I'm never gonna miss you

I belong to you now
I belong to you
I belong to you now
I belong to you
I belong to you now
I belong to you
I belong to you now
I belong to you
I belong to you now
I belong to you
I belong to you now
I belong to you
I belong to you now
I belong to you
I belong to you now
I belong to you"
Brandi Carlile,That Wasn’t Me,Bear Creek,2012,"Hang on, just hang on for a minute
I've got something to say
I'm not asking you to move on or forget it
But these are better days
To be wrong all along and admit it, is not amazing grace
But to be loved like a song you remember
Even when you've changed
Tell me, did I go on a tangent?
Did I lie through my teeth?
Did I cause you to stumble on your feet?
Did I bring shame on my family?
Did it show when I was weak?
Whatever you've seen, that wasn't me
That wasn't me, oh that wasn't me
When you're lost you will toss every lucky coin you'll ever trust
And you'll hide from your God like he ever turns his back on us
And you will fall all the way to the bottom and land on your own knife
And you'll learn who you are even if it doesn't take your life
Tell me, did I go on a tangent?
Did I lie through my teeth?
Did I cause you to stumble on your feet?
Did I bring shame on my family?
Did it show when I was weak?
Whatever you've seen, that wasn't me
That wasn't me, oh that wasn't me
But I want you to know that you'll never be alone
I wanna believe, do I make myself a blessing to everyone I meet
When you fall I will get you on your feet
Do I spend time with my family?
Did it show when I was weak?
When that's what you've seen, that will be me
That will be me, that will be me
That will be me"
Brandi Carlile,That Year,Give Up The Ghost,2009,"I must have been sleeping
I must have been drinking
I haven't been dreaming about you for years
There was a sharp turn and a sunburn
I was too cool for high school that year
It must have been New Years
No one invited you
You took things too far
But I missed you
And your antics
You were lonesome
And blue eyed
And so special to us
You should have taken a long break
Instead of a long drop from a high place
Ten years I never spoke your name
Now it feels good to say it
You're my friend again
He said he forgave you
I said I hated you
He was the bigger man
I was sixteen
All the innocence
It took for
You to finally make your year book
That year
That year
You could have taken some time away
Instead of a long drop
Instead of a leap of faith
Ten years I never spoke your name
Now it feels good to say that
You're my friend again
You're my friend again
I was angry
I was a Baptist
I was a daughter
I was wrong"
Brandi Carlile,Before It Breaks,Give Up The Ghost,2009,"Around here, it's the hardest time of year
Waking up, the days are even gone
The collar of my coat
Lord help me, cannot help the cold
The raindrops sting my eyes
I keep them closed
But I'm feelin' no pain
Only the lonely and my quietest friend
Have I the moonlight? Have I let you in?
Say it ain't so, say I'm happy again
Say it's over, say I'm dreaming
Say I'm better than you left me
Say you're sorry, I can take it
Say you'll wait, say you won't
Say you love me, say you don't
I can make my own mistakes
Let it bend before it breaks
I'm all right. Don't I always seem to be?
Aren't I swinging on the stars?
Don't I wear them on my sleeve?
When you're looking for a crossroads
It happens every day
And whichever way you turn
I'm gonna turn the other way
Say it's over, say I'm dreaming
Say I'm better than you left me
Say you're sorry, I can take it
Say you'll wait, say you won't
Say you love me, say you don't
I can make my own mistakes
Learn to let it bend before it breaks
Say it's over say I'm dreaming
Say I'm better than you left me
Say you're sorry, I can take it
Say you'll wait, say you won't
Say you love me, say you don't
I can make my own mistakes
Let it bend before it breaks"
Brandi Carlile,Again Today,The Story,2007,"Broken sticks and broken stones
Will turn to dust just like our bones
It's words that hurt the most now isn't it
Are you sad inside, are you home alone
If I could just pick up the phone
Maybe you could see a better day
And you won't waste away
Under my watchful eye
Because I'm your hero and you're my weakness
Who's gonna break my fall
When the spinning starts
The colors bleed together and fade
Was it ever there at all
Or have I lost my way
The path of least resistance
Is catching up with me again today
I'm broken down, not good enough
The broken promises add up
To twice their weight in tears which I have caused
I'm afraid to sink, I'm afraid to swim
I'm sad to say I miss my friends
I know that I'm supposed to step away
But they need me to stay and keep a watchful eye
On all my heroes and all their demons
But who's gonna break my fall
When the spinning starts
The colors bleed together and fade
Was it ever there at all
Or have I lost my way
The path of least resistance
Is catching up with me again
Not today
Not today
Was it ever there at all
And have I lost my way
The path of least resistance
Is catching up with me again today
Broken sticks and broken stones
Will turn to dust just like our bones again today
I'm broken down
Not good enough
The broken promises add up again today
Was it ever there at all
And have I lost my way
The path of least resistance
Is catching up with me again today
Again today"
Brandi Carlile,The Things I Regret,The Firewatcher’s Daughter,2015,"Ohhhhh ohhhh ohhhh oh-o-oh
Ohhhhh ohhhh ohhhh oh-o-oh

There's a hole in my pocket where my dreams fell through
From a side walk in the city to the avenue
There's a leak in my dam 'bout the size of a pin
And I can't quite remember where the water's getting in
But when you're wearing on your sleeve
All the things you regret
You can only remember what you want to forget
You feel it tugging at your heart
Like the stars overhead
'til you rest your bones on the killing bed

Let them roll over me
Let them roll over me
When I doubt you
Let them roll over me
Let them roll over me
When I doubt you

With the weight of the world resting on my back
And the road on which I've travelled is as long as it is cracked
But I keep pressing forward with my feet to the ground
For a heart that is broken makes a beautiful sound
But when you're wearing on your sleeve
All the things you regret
You can only remember what you want to forget

Let them roll over me
Let them roll over me
When I doubt you
Let them roll over me
Let them roll over me
When I doubt you

Ohhh ohhhh ohhh oh-o-oh
Ohhh ohhhh ohhh oh-o-oh

I walk through my days like a ghost in a dream
But the feel carries on and my past follows me
It's hard moving on from the things you done wrong
When they play in your head like an old fashioned song
But when you're wearing on your sleeve
All the things you regret
You can only remember what you want to forget

Lonely miles, without you
Lonely miles, without you
Let them roll over me
Let them roll over me
When I doubt you

Let them roll over me
Let them roll over me
When I doubt you
Let them roll over me
Let them roll over me
Let them roll over me
Let them roll over me
Let the ground keep my faults
Let the water be my home
Let the dust hold my soul
Like a holy rolling stone"
Brandi Carlile,Josephine,The Story,2007,"Take me back Josephine
To that cold and dark December
I am missing someone but I don't know who
Now I'm standing alone and I'm trying to remember
Sometimes I wonder how I ever started loving you
Noontime wind can you blow
For me one more time
And take me on back to the start
Where the midnight moon shines so bright
Nearly pulled us up to Heaven
By the strings of our heart
Take me back Josephine
To that cold and dark December
I am missing someone but I don't know who
Now I'm standing alone and I'm trying to remember
Sometimes I wonder how I ever started loving you
Morning sun shine on me
Come light inside my window
And rest on my brow
Kiss my eyes when I sleep
And carry me back home
If my dreams will allow
Take me back Josephine
To that cold and dark December
I am missing someone but I don't know who
Now I'm standing alone and I'm trying to remember
Sometimes I wonder how I ever started loving you
Take me back Josephine
To that cold and dark December
I am missing someone but I don't know who
Now I'm standing alone and I'm trying to remember
Sometimes I wonder how I ever started loving you
Someone help me understand why I'm still loving you"
Brandi Carlile,Wherever Is Your Heart,The Firewatcher’s Daughter,2015,"I think it's time we found a way back home
You lose so many things you love as you grow
I missed the days when I was just a kid
My fear became my shadow, I swear it did

Wherever is your heart I call home
Wherever is your heart I call home
Though your feet may take you far from me, I know
Wherever is your heart I call home

You made me feel like I was always falling
Always falling down without a place to land
Somewhere in the distance I heard you calling
Oh it hurts so bad to let go of your hand


Even when you're high, you can get low
Even with your friends you love, you're still alone
We always find the darkest place to go
God forgive our minds, we were born to roam


Oh God forgive my mind, oh God forgive my mind
When I come home, when I come home
Oh God forgive my mind
There's a road that's long and winding, it hollers home
I'm calling home
Oh God forgive my mind, oh God forgive my mind
When I come home, when I come home
Oh God forgive my mind, oh God forgive my mind
When I come home, when I come home
 x2"
Brandi Carlile,What Can I Say,Brandi Carlile,2005,"Look to the clock on the wall
Hands hardly moving at all
I can't stand the state that I'm in
Sometimes it feels like the walls closing in
Oh, Lord, what can I say
I'm so sad since you went away
Time, time, ticking on me
Alone is the last place I wanted to be
Lord, what can I say
Try to burn my troubles away
Drown my sorrow the same way
Seems no matter how hard I try
Feels like there's something just missing inside
Oh, Lord, what can I say
I'm so sad since you went away
Time, time, ticking on me
Alone is the last place I wanted to be
Lord, what can I say
Oh, Lord, what can I say
How many rules can I break
How many lies can I make
How many roads must I turn
To find me a place where the bridge hasn't burned
Oh, Lord, what can I say
I'm so sad since you went away
Time, time, ticking on me
Alone is the last place I wanted to be
Lord, what can I say
Oh, Lord, what can I say"
Brandi Carlile,Dreams,Give Up The Ghost,2009,"Dreams, I have dreams
When I'm awake when I'm asleep
And you, you are in my dreams
You're underneath my skin
How am I so weak
And now in my dreams
I can feel the way, I can just come clean
I keep it to myself, I know what it means
I can't have you, but I have dreams
How long, can you hold your breath?
Can you count to ten, can you let it pass?
Keep, can you keep it in?
Keep it behind latches, can you make it last?
And now in my dreams
I can feel the way, I can just come clean
I keep it to myself, I know what it means
I can't have you, but I have dreams
Oh, and I have dreams, I have dreams
Mind, can you read my mind?
Has it come undone, am I showing signs?
And now, in my dreams
I can feel the way, I can just come clean
I keep it to myself, I know what it means
I can't have you, but I have dreams
I have dreams, I have, I have, I have dreams"
